vendor_code,vendor_name,city_id,business_line,grade
5p87ox,ژامبون کوچولو اصل,2,Restaurant,A
2g9mr8,هام برگر,1,Restaurant,Not Enough Comments
286p9o,کارخانه ساندویچ,1,Restaurant,Not Enough Comments
533r41,فست فود چیلی تای ,1,Restaurant,Not Enough Comments
57mx8p,دورهمی,1,Restaurant,Not Enough Comments
231mym,کبابی زیتون,2,Restaurant,A
56631n,رستوران خان دیزی,2,Restaurant,A
2yo11m,رستوران هرمس,1,Restaurant,Not Enough Comments
5yo8p7,ایستگاه شکم دولپی (شعبه احمد آباد),1,Restaurant,Not Enough Comments
2o3mo8,ضیافت,2,Restaurant,A
5xoyp2,فست فود آتیش,1,Restaurant,Not Enough Comments
5zxg15,اغذیه رضا,1,Restaurant,Not Enough Comments
5nkxp8,رستوران نایب (ساعی),2,Restaurant,A
23373y,مجموعه رستوران‌های ویلا,1,Restaurant,Not Enough Comments
5xg1mr,فست فود دکتر چی فود,1,Restaurant,Not Enough Comments
2o1yz6,کبابخانه المهدی (کوهسار),2,Restaurant,A
2kor32,سوخارو,1,Restaurant,Not Enough Comments
5z4gzm,کترینگ و غذای اماده نجار,1,Restaurant,Not Enough Comments
5w747p,کباب کیمیا,1,Restaurant,Not Enough Comments
5k36gm,کباب ذغالی تک,2,Restaurant,A
5o1314,سان ویچ,1,Restaurant,Not Enough Comments
2nxkyx,اغذیه یاسین,1,Restaurant,Not Enough Comments
2p6831,رستوران عظیمی و پسران ,1,Restaurant,Not Enough Comments
2p8wnr,کافه رستوران حامی ,1,Restaurant,Not Enough Comments
2l44m2,کباب و کره کباب آرنا,1,Restaurant,Not Enough Comments
2k3m93,گریل گاردن,1,Restaurant,Not Enough Comments
2nkpmn,بیتا ساندویچ,1,Restaurant,Not Enough Comments
5ym77r,کباب ترکی شهران,2,Restaurant,A
5mymw7,ساندویچ کارون,1,Restaurant,Not Enough Comments
5p8oo1,کترینگ شیوان,1,Restaurant,Not Enough Comments
286pz2,پیراشکی تنوری آتش,1,Restaurant,Not Enough Comments
5klr49,سنت سرای قجری,1,Restaurant,Not Enough Comments
2lwmkp,کترینگ نمک گیر,1,Restaurant,Not Enough Comments
5lz4g3,برگ سبز,2,Restaurant,A
243x95,کترینگ ترنج,1,Restaurant,Not Enough Comments
53zzzn,سرگالان,1,Restaurant,Not Enough Comments
5yoy43,کباب تابه ای دایان,1,Restaurant,Not Enough Comments
